Аддон flyPlateBuffs для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-flyplatebuffs-dlya-wow-sirus-3-3-5a.html;Аддон flyPlateBuffs отображает баффы/дебаффы над табличками. «/pb» или «/fpb» для открытия настроек. Особенности Ограничения Аддон не будет работать с дружественными табличками в подземельях/рейдах из-за ограничений Blizzard. Это невозможно…;4 240 просмотров
Аддон MinimapButtonBag для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-minimapbuttonbag-dlya-wow-sirus-3-3-5a.html;Аддон MinimapButtonBag очищает вашу карту Minimap и перемещает кнопки в строку меню. Доступ к ним по-прежнему можно получить через одну кнопку миникарты. Если вы хотите снова прикрепить кнопку…;3 243 просмотров
Аддон HandyNotes для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-handynotes-dlya-wow-sirus-3-3-5a.html;Аддон HandyNotes — это удобные заметки для ваших карт. Этот аддон предназначен для небольшой и простой замены Cartographer_Notes и функционирует аналогичным образом. Для доступа к опциям используйте /handynotes….;1 731 просмотров
Аддон Pawn для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-pawn-dlya-wow-sirus-3-3-5a.html;Аддон Pawn поможет вам подобрать новые предметы для вашего снаряжения и определить, какой из двух предметов лучше подходит для вашей характеристики. Начните со встроенных советов Ask Mr. Robot…;5 664 просмотров
Аддон GTFO для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-gtfo-dlya-wow-sirus-3-3-5a.html;Аддон GTFO — подает звуковые сигналы о том, что вы стоите в месте, в котором не должны стоять. В некоторых случаях вы будете предупреждены еще до того, как…;4 071 просмотров
Аддон WeakAuras для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-weakauras-dlya-wow-sirus-3-3-5a.html;WeakAuras — это мощный и гибкий аддон, позволяющий отображать в пользовательском интерфейсе World of Warcraft настраиваемую графику для обозначения баффов, дебаффов и другой необходимой информации. Аддон WeakAuras был…;12 875 просмотров
Аддон TomTom для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-tomtom-dlya-wow-sirus-3-3-5a.html;TomTom — это ваш персональный навигационный помощник в World of Warcraft. Этот аддон очень прост, но обладает неплохим набором функций. TomTom предлагает следующие основные возможности:;9 795 просмотров
Аддон Threat Plates для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-threat-plates-dlya-wow-sirus-3-3-5a.html;Threat Plates (сокращенно TP) — это аддон для настройки ваших табличек. Он предлагает большое количество настроек, позволяющих изменять реакцию и внешний вид табличек. Он также предлагает некоторые уникальные…;12 693 просмотров
Аддон Shadowed Unit Frames для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/shadowed-unit-frames-dlya-wow-sirus-3-3-5a.html;Аддон Shadowed Unit Frames разработан для замены классических фреймов на более удобные и функциональные с огромным количеством разнообразных фильтров для каждого фрейма. Вы сможете настроить следующие фреймы: игрок,…;9 587 просмотров
Аддон SexyMap для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-sexymap-dlya-wow-sirus-3-3-5a.html;Аддон SexyMap делает ваши карты сексуальными. Прикрепите к карте красивые иллюстрации, уберите неприглядные кнопки (которые вернутся при наведении курсора!), перемещайте карту и многое другое. Сделайте свою карту суперсексуальной!…;6 255 просмотров
Аддон Dominos для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-dominos-dlya-wow-sirus-3-3-5a.html;Dominos — это аддон, который предоставляет пользователю ряд настраиваемых панелей на экране. Все панели можно перемещать и настроить, как Вам угодно: добавляя что хотите, от действий и заклинаний…;6 297 просмотров
Пак аддонов для Увеличения FPS для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/pak-addonov-dlya-uvelicheniya-fps-dlya-wow-sirus-3-3-5a.html;Комплект аддонов предназначен для повышения комфортности игры, увеличения FPS и уменьшения количества фризов.;4 568 просмотров
Лучший аддон для прокачки RestedXP для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-restedxp-dlya-wow-sirus-3-3-5a.html;RestedXP — это аддон руководства по полной прокачке персонажа с сопутствующими маршрутами. Аддон включает в себя автоматическое выполнение таких действий, как обучение, заклинания, полеты, принятие квестов, сдача квестов…;12 376 просмотров
Аддон Guidelime для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-guidelime-dlya-wow-sirus-3-3-5a.html;Аддон Guidelime — содержащий справочники по уровню с автоматическим обновлением прогресса. Читайте: 21 лучший аддон для Wow WotLK Classic 3.3.5a Что делает аддон? Путеводители отображаются в виде списка…;3 097 просмотров
Аддон AtlasLootClassic для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-atlaslootclassic-dlya-wow-sirus-3-3-5a.html;AtlasLoot Classic — это аддон, позволяющий просматривать таблицы лута с боссов, если это необходимо в игре. AtlasLoot Classic очень полезный аддон. Особенности: Избранное:;3 184 просмотров
Топ 21 аддон для Wow WotLK Classic Sirus 3.3.5a [2023];https://wow-sirus.ru/addony/top-21-addon-wow-wotlk-classic-sirus-3-3-5a-2023.html;Список лучших аддонов для World of Warcraft: Wrath of the Lich King Classic Sirus 3.3.5a, составленный на основе моего игрового процесса и тестирования! Настало время! Пришло время лича,…;17 375 просмотров
Аддон ElvUI для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-elvui-dlya-wow-sirus-3-3-5a.html;Аддон ElvUI — это полная замена пользовательского интерфейса. Он полностью заменяет стандартный пользовательский интерфейс Blizzard на всех уровнях новым и более совершенным. Таким образом, вам придется обновлять только…;12 406 просмотров
Аддон Exorsus Raid Tools для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-exorsus-raid-tools-dlya-wow-sirus-3-3-5a.html;Exorsus Raid Tools — полезный аддон для рейдеров, особенно для лидеров рейдов и офицеров. Модули аддона Exorsus Raid Tools: Перезарядка рейда, битвы, журнал боев, просмотрщик проверок, Заметки, проверка…;1 950 просмотров
Аддон BigWigs для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-bigwigs-dlya-wow-sirus-3-3-5a.html;BigWigs — это аддон для боссов. Аддон BigWigs состоит из множества отдельных скриптов и модулей боссов, мини-дополнений, которые предназначены для запуска предупреждающих сообщений, таймеров, звуков и т.д. для…;1 854 просмотров
Аддон Deadly Boss Mods для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-deadly-boss-mods-dlya-wow-sirus-3-3-5a.html;Аддон Deadly Boss Mods отображает таймеры и предупреждения о заклинаниях и способностях боссов рейда. Особенности:;12 648 просмотров
